pokedex_entry,pokemon_name,pokemon_types,species,height,weight,abilities,ev_yield,catch_rate,friendship,base_exp,growth_rate,egg_groups,genders,egg_cycles,super_effective_on_subject,not_effective_on_subject,no_effect_on_subject,description,level_up_moves
205,Forretress,"['Bug', 'Steel']",Bagworm Pokémon,1.2 m (3′11″),125.8 kg (277.3 lbs),"['Sturdy', 'Overcoat']","
2 Defense ","75 (9.8% with PokéBall, full HP)",70 (normal),163,Medium Fast,['Bug'],"['50% male', '50% female']","20 (4,884–5,140 steps)
",['Fire'],"['Normal', 'Ice', 'Psychic', 'Bug', 'Dragon', 'Steel', 'Fairy']",['Poison'],"In the moment that it gulps down its prey, the inside of its shell is exposed, but to this day, no one has ever seen that sight.","[('1', 'Autotomize'), ('1', 'Bug Bite'), ('1', 'Heavy Slam'), ('1', 'Magnet Rise'), ('1', 'Mirror Shot'), ('1', 'Protect'), ('1', 'Self-Destruct'), ('1', 'Tackle'), ('1', 'Toxic Spikes'), ('1', 'Zap Cannon'), ('6', 'Self-Destruct'), ('9', 'Bug Bite'), ('12', 'Take Down'), ('17', 'Rapid Spin'), ('20', 'Bide'), ('23', 'Natural Gift'), ('28', 'Spikes'), ('32', 'Payback'), ('36', 'Explosion'), ('42', 'Iron Defense'), ('46', 'Gyro Ball'), ('50', 'Double-Edge'), ('56', 'Magnet Rise'), ('60', 'Zap Cannon'), ('64', 'Heavy Slam')]"
206,Dunsparce,['Normal'],Land Snake Pokémon,1.5 m (4′11″),14.0 kg (30.9 lbs),"['Serene Grace', 'Run Away', 'Rattled']","
1 HP ","190 (24.8% with PokéBall, full HP)",70 (normal),145,Medium Fast,['Field'],"['50% male', '50% female']","20 (4,884–5,140 steps)
",['Fighting'],[],['Ghost'],"When it sees a person, it digs a hole with its tail to make its escape. If you happen to find one, consider yourself lucky.","[('1', 'Defense Curl'), ('1', 'Rage'), ('3', 'Rollout'), ('6', 'Spite'), ('8', 'Pursuit'), ('11', 'Screech'), ('13', 'Mud-Slap'), ('16', 'Yawn'), ('18', 'Ancient Power'), ('21', 'Body Slam'), ('23', 'Drill Run'), ('26', 'Roost'), ('28', 'Take Down'), ('31', 'Coil'), ('33', 'Dig'), ('36', 'Glare'), ('38', 'Double-Edge'), ('41', 'Endeavor'), ('43', 'Air Slash'), ('46', 'Dragon Rush'), ('48', 'Endure'), ('51', 'Flail')]"
207,Gligar,"['Ground', 'Flying']",FlyScorpion Pokémon,1.1 m (3′07″),64.8 kg (142.9 lbs),"['Hyper Cutter', 'Sand Veil', 'Immunity']","
1 Defense ","60 (7.8% with PokéBall, full HP)",70 (normal),86,Medium Slow,['Bug'],"['50% male', '50% female']","20 (4,884–5,140 steps)
","['Water', 'Ice']","['Fighting', 'Poison', 'Bug']","['Electric', 'Ground']","Gligar glides through the air without a sound as if it were sliding. This Pokémon hangs on to the face of its foe using its clawed hind legs and the large pincers on its forelegs, then injects the prey with its poison barb.","[('1', 'Poison Sting'), ('4', 'Sand Attack'), ('7', 'Harden'), ('10', 'Knock Off'), ('13', 'Quick Attack'), ('16', 'Fury Cutter'), ('19', 'Feint Attack'), ('22', 'Acrobatics'), ('27', 'Slash'), ('30', 'U-turn'), ('35', 'Screech'), ('40', 'X-Scissor'), ('45', 'Sky Uppercut'), ('50', 'Swords Dance'), ('55', 'Guillotine')]"
208,Steelix,"['Steel', 'Ground']",Iron Snake Pokémon,9.2 m (30′02″),400.0 kg (881.8 lbs),"['Rock Head', 'Sturdy', 'Sheer Force']","
2 Defense ","25 (3.3% with PokéBall, full HP)",70 (normal),179,Medium Fast,['Mineral'],"['50% male', '50% female']","25 (6,169–6,425 steps)
","['Fire', 'Water', 'Fighting', 'Ground']","['Normal', 'Flying', 'Psychic', 'Bug', 'Dragon', 'Steel', 'Fairy']","['Electric', 'Poison']",063 (Gold/Silver/Crystal)035 (Diamond/Pearl)035 (Platinum)063 (HeartGold/SoulSilver)072 (Black 2/White 2)054 (X/Y — Coastal Kalos)179 (Sword/Shield),"[('1', 'Bind'), ('1', 'Crunch'), ('1', 'Fire Fang'), ('1', 'Harden'), ('1', 'Ice Fang'), ('1', 'Rock Polish'), ('1', 'Rock Throw'), ('1', 'Tackle'), ('1', 'Thunder Fang'), ('4', 'Smack Down'), ('8', 'Autotomize'), ('12', 'Dragon Breath'), ('16', 'Curse'), ('20', 'Rock Slide'), ('24', 'Screech'), ('28', 'Sand Tomb'), ('32', 'Stealth Rock'), ('36', 'Slam'), ('40', 'Sandstorm'), ('44', 'Dig'), ('48', 'Iron Tail'), ('52', 'Stone Edge'), ('56', 'Double-Edge'), ('60', 'Magnet Rise')]"
209,Snubbull,['Fairy'],Fairy Pokémon,0.6 m (2′00″),7.8 kg (17.2 lbs),"['Intimidate', 'Run Away', 'Rattled']","
1 Attack ","190 (24.8% with PokéBall, full HP)",70 (normal),60,Fast,"['Fairy', 'Field']","['25% male', '75% female']","20 (4,884–5,140 steps)
","['Poison', 'Steel']","['Fighting', 'Bug', 'Dark']",['Dragon'],"In contrast to its appearance, it’s quite timid. When playing with other puppy Pokémon, it sometimes gets bullied.","[('1', 'Charm'), ('1', 'Fire Fang'), ('1', 'Ice Fang'), ('1', 'Scary Face'), ('1', 'Tackle'), ('1', 'Tail Whip'), ('1', 'Thunder Fang'), ('7', 'Bite'), ('13', 'Lick'), ('19', 'Headbutt'), ('25', 'Roar'), ('31', 'Rage'), ('37', 'Play Rough'), ('43', 'Payback'), ('49', 'Crunch')]"
210,Granbull,['Fairy'],Fairy Pokémon,1.4 m (4′07″),48.7 kg (107.4 lbs),"['Intimidate', 'Quick Feet', 'Rattled']","
2 Attack ","75 (9.8% with PokéBall, full HP)",70 (normal),158,Fast,"['Fairy', 'Field']","['25% male', '75% female']","20 (4,884–5,140 steps)
","['Poison', 'Steel']","['Fighting', 'Bug', 'Dark']",['Dragon'],"Although it’s popular with young people, Granbull is timid and sensitive, so it’s totally incompetent as a watchdog.","[('1', 'Charm'), ('1', 'Fire Fang'), ('1', 'Ice Fang'), ('1', 'Outrage'), ('1', 'Scary Face'), ('1', 'Tackle'), ('1', 'Tail Whip'), ('1', 'Thunder Fang'), ('7', 'Bite'), ('13', 'Lick'), ('19', 'Headbutt'), ('27', 'Roar'), ('35', 'Rage'), ('43', 'Play Rough'), ('51', 'Payback'), ('59', 'Crunch'), ('67', 'Outrage')]"
211,Qwilfish,"['Water', 'Poison']",Balloon Pokémon,0.5 m (1′08″),3.9 kg (8.6 lbs),"['Poison Point', 'Swift Swim', 'Intimidate']","
1 Attack ","45 (5.9% with PokéBall, full HP)",70 (normal),88,Medium Fast,['Water 2'],"['50% male', '50% female']","20 (4,884–5,140 steps)
","['Electric', 'Ground', 'Psychic']","['Fire', 'Water', 'Ice', 'Fighting', 'Poison', 'Bug', 'Steel', 'Fairy']",[],The small spikes covering its body developed from scales. They inject a toxin that causes fainting.,"[('1', 'Poison Sting'), ('1', 'Tackle'), ('4', 'Harden'), ('8', 'Water Gun'), ('12', 'Fell Stinger'), ('16', 'Minimize'), ('20', 'Spikes'), ('24', 'Brine'), ('28', 'Revenge'), ('32', 'Pin Missile'), ('36', 'Toxic Spikes'), ('40', 'Poison Jab'), ('44', 'Spit Up'), ('44', 'Stockpile'), ('48', 'Take Down'), ('52', 'Toxic'), ('56', 'Aqua Tail'), ('60', 'Acupressure'), ('66', 'Destiny Bond')]"
212,Scizor,"['Bug', 'Steel']",Pincer Pokémon,1.8 m (5′11″),118.0 kg (260.1 lbs),"['Swarm', 'Technician', 'Light Metal']","
2 Attack ","25 (3.3% with PokéBall, full HP)",70 (normal),175,Medium Fast,['Bug'],"['50% male', '50% female']","25 (6,169–6,425 steps)
",['Fire'],"['Normal', 'Ice', 'Psychic', 'Bug', 'Dragon', 'Steel', 'Fairy']",['Poison'],111 (Gold/Silver/Crystal)196 (Platinum)112 (HeartGold/SoulSilver)137 (X/Y — Mountain Kalos)276 (Sun/Moon — Alola dex)366 (U.Sun/U.Moon — Alola dex),"[('1', 'Bullet Punch'), ('1', 'Feint'), ('1', 'Leer'), ('1', 'Quick Attack'), ('5', 'Focus Energy'), ('9', 'Pursuit'), ('13', 'False Swipe'), ('17', 'Agility'), ('21', 'Metal Claw'), ('25', 'Fury Cutter'), ('29', 'Slash'), ('33', 'Razor Wind'), ('37', 'Iron Defense'), ('41', 'X-Scissor'), ('45', 'Night Slash'), ('49', 'Double Hit'), ('50', 'Iron Head'), ('57', 'Swords Dance'), ('61', 'Feint')]"
213,Shuckle,"['Bug', 'Rock']",Mold Pokémon,0.6 m (2′00″),20.5 kg (45.2 lbs),"['Sturdy', 'Gluttony', 'Contrary']","
1 Defense, 1 Special Defense ","190 (24.8% with PokéBall, full HP)",70 (normal),177,Medium Slow,['Bug'],"['50% male', '50% female']","20 (4,884–5,140 steps)
","['Water', 'Rock', 'Steel']","['Normal', 'Poison']",[],"The berries stored in its vaselike shell eventually become a thick, pulpy juice.","[('1', 'Withdraw'), ('1', 'Wrap'), ('5', 'Rollout'), ('10', 'Struggle Bug'), ('15', 'Rock Throw'), ('20', 'Safeguard'), ('25', 'Rest'), ('30', 'Bug Bite'), ('35', 'Guard Split'), ('35', 'Power Split'), ('40', 'Rock Slide'), ('45', 'Gastro Acid'), ('50', 'Sticky Web'), ('55', 'Power Trick'), ('60', 'Stone Edge'), ('65', 'Shell Smash')]"
214,Heracross,"['Bug', 'Fighting']",Single Horn Pokémon,1.5 m (4′11″),54.0 kg (119.0 lbs),"['Swarm', 'Guts', 'Moxie']","
2 Attack ","45 (5.9% with PokéBall, full HP)",70 (normal),175,Slow,['Bug'],"['50% male', '50% female']","25 (6,169–6,425 steps)
","['Fire', 'Flying', 'Psychic', 'Fairy']","['Grass', 'Fighting', 'Ground', 'Bug', 'Dark']",[],113 (Gold/Silver/Crystal)168 (Ruby/Sapphire/Emerald)062 (Diamond/Pearl)062 (Platinum)114 (HeartGold/SoulSilver)145 (Black 2/White 2)131 (X/Y — Coastal Kalos)175 (Omega Ruby/Alpha Sapphire)367 (U.Sun/U.Moon — Alola dex),"[('1', 'Arm Thrust'), ('1', 'Bullet Seed'), ('1', 'Endure'), ('1', 'Horn Attack'), ('1', 'Leer'), ('1', 'Night Slash'), ('1', 'Tackle'), ('7', 'Feint'), ('10', 'Aerial Ace'), ('16', 'Chip Away'), ('19', 'Counter'), ('25', 'Fury Attack'), ('28', 'Brick Break'), ('31', 'Pin Missile'), ('34', 'Take Down'), ('37', 'Megahorn'), ('43', 'Close Combat'), ('46', 'Reversal')]"
215,Sneasel,"['Dark', 'Ice']",Sharp Claw Pokémon,0.9 m (2′11″),28.0 kg (61.7 lbs),"['Inner Focus', 'Keen Eye', 'Pickpocket']","
1 Speed ","60 (7.8% with PokéBall, full HP)",35 (lower than normal),86,Medium Slow,['Field'],"['50% male', '50% female']","20 (4,884–5,140 steps)
","['Fire', 'Fighting', 'Bug', 'Rock', 'Steel', 'Fairy']","['Ice', 'Ghost', 'Dark']",['Psychic'],"It has a cunning yet savage disposition. It waits for parents to leave their nests, and then it sneaks in to steal their eggs.","[('1', 'Leer'), ('1', 'Scratch'), ('6', 'Taunt'), ('12', 'Quick Attack'), ('18', 'Metal Claw'), ('24', 'Icy Wind'), ('30', 'Fury Swipes'), ('36', 'Hone Claws'), ('42', 'Beat Up'), ('48', 'Agility'), ('54', 'Screech'), ('60', 'Slash')]"
216,Teddiursa,['Normal'],Little Bear Pokémon,0.6 m (2′00″),8.8 kg (19.4 lbs),"['Pickup', 'Quick Feet', 'Honey Gather']","
1 Attack ","120 (15.7% with PokéBall, full HP)",70 (normal),66,Medium Fast,['Field'],"['50% male', '50% female']","20 (4,884–5,140 steps)
",['Fighting'],[],['Ghost'],This Pokémon likes to lick its palms that are sweetened by being soaked in honey. Teddiursa concocts its own honey by blending fruits and pollen collected by Beedrill.,"[('1', 'Baby-Doll Eyes'), ('1', 'Covet'), ('1', 'Fake Tears'), ('1', 'Fling'), ('1', 'Lick'), ('1', 'Scratch'), ('8', 'Fury Swipes'), ('15', 'Feint Attack'), ('22', 'Sweet Scent'), ('25', 'Play Nice'), ('29', 'Slash'), ('36', 'Charm'), ('43', 'Rest'), ('43', 'Snore'), ('50', 'Thrash'), ('57', 'Fling')]"
217,Ursaring,['Normal'],Hibernator Pokémon,1.8 m (5′11″),125.8 kg (277.3 lbs),"['Guts', 'Quick Feet', 'Unnerve']","
2 Attack ","60 (7.8% with PokéBall, full HP)",70 (normal),175,Medium Fast,['Field'],"['50% male', '50% female']","20 (4,884–5,140 steps)
",['Fighting'],[],['Ghost'],"In the forests inhabited by Ursaring, it is said that there are many streams and towering trees where they gather food. This Pokémon walks through its forest gathering food every day.","[('1', 'Covet'), ('1', 'Fake Tears'), ('1', 'Hammer Arm'), ('1', 'Leer'), ('1', 'Lick'), ('1', 'Scratch'), ('8', 'Fury Swipes'), ('15', 'Feint Attack'), ('22', 'Sweet Scent'), ('25', 'Play Nice'), ('29', 'Slash'), ('38', 'Scary Face'), ('47', 'Rest'), ('49', 'Snore'), ('58', 'Thrash'), ('67', 'Hammer Arm')]"
218,Slugma,['Fire'],Lava Pokémon,0.7 m (2′04″),35.0 kg (77.2 lbs),"['Magma Armor', 'Flame Body', 'Weak Armor']","
1 Special Attack ","190 (24.8% with PokéBall, full HP)",70 (normal),50,Medium Fast,['Amorphous'],"['50% male', '50% female']","20 (4,884–5,140 steps)
","['Water', 'Ground', 'Rock']","['Fire', 'Grass', 'Ice', 'Bug', 'Steel', 'Fairy']",[],"Slugma does not have any blood in its body. Instead, intensely hot magma circulates throughout this Pokémon’s body, carrying essential nutrients and oxygen to its organs.","[('1', 'Smog'), ('1', 'Yawn'), ('6', 'Ember'), ('8', 'Rock Throw'), ('13', 'Harden'), ('15', 'Incinerate'), ('20', 'Clear Smog'), ('22', 'Ancient Power'), ('27', 'Flame Burst'), ('29', 'Rock Slide'), ('34', 'Lava Plume'), ('36', 'Amnesia'), ('41', 'Body Slam'), ('43', 'Recover'), ('48', 'Flamethrower'), ('50', 'Earth Power')]"
219,Magcargo,"['Fire', 'Rock']",Lava Pokémon,0.8 m (2′07″),55.0 kg (121.3 lbs),"['Magma Armor', 'Flame Body', 'Weak Armor']","
2 Defense ","75 (9.8% with PokéBall, full HP)",70 (normal),151,Medium Fast,['Amorphous'],"['50% male', '50% female']","20 (4,884–5,140 steps)
","['Water', 'Fighting', 'Ground', 'Rock']","['Normal', 'Ice', 'Poison', 'Flying', 'Bug', 'Fairy']",[],"Magcargo’s body temperature is approximately 18,000 degrees Fahrenheit. Water is vaporized on contact. If this Pokémon is caught in the rain, the raindrops instantly turn into steam, cloaking the area in a thick fog.","[('1', 'Earth Power'), ('1', 'Ember'), ('1', 'Rock Throw'), ('1', 'Shell Smash'), ('1', 'Smog'), ('1', 'Yawn'), ('6', 'Ember'), ('8', 'Rock Throw'), ('13', 'Harden'), ('15', 'Incinerate'), ('20', 'Clear Smog'), ('22', 'Ancient Power'), ('27', 'Flame Burst'), ('29', 'Rock Slide'), ('34', 'Lava Plume'), ('36', 'Amnesia'), ('43', 'Body Slam'), ('47', 'Recover'), ('54', 'Flamethrower'), ('58', 'Earth Power')]"
220,Swinub,"['Ice', 'Ground']",Pig Pokémon,0.4 m (1′04″),6.5 kg (14.3 lbs),"['Oblivious', 'Snow Cloak', 'Thick Fat']","
1 Attack ","225 (29.4% with PokéBall, full HP)",70 (normal),50,Slow,['Field'],"['50% male', '50% female']","20 (4,884–5,140 steps)
","['Water', 'Grass', 'Fighting', 'Steel']","['Ice', 'Poison']",['Electric'],"If it smells something enticing, it dashes off headlong to find the source of the aroma.","[('1', 'Mud-Slap'), ('1', 'Tackle'), ('5', 'Powder Snow'), ('10', 'Flail'), ('15', 'Ice Shard'), ('20', 'Mist'), ('25', 'Endure'), ('30', 'Icy Wind'), ('35', 'Amnesia'), ('40', 'Take Down'), ('45', 'Earthquake'), ('50', 'Blizzard')]"
221,Piloswine,"['Ice', 'Ground']",Swine Pokémon,1.1 m (3′07″),55.8 kg (123.0 lbs),"['Oblivious', 'Snow Cloak', 'Thick Fat']","
1 HP, 1 Attack ","75 (9.8% with PokéBall, full HP)",70 (normal),158,Slow,['Field'],"['50% male', '50% female']","20 (4,884–5,140 steps)
","['Water', 'Grass', 'Fighting', 'Steel']","['Ice', 'Poison']",['Electric'],"Although its legs are short, its rugged hooves prevent it from slipping, even on icy ground.","[('1', 'Ancient Power'), ('1', 'Flail'), ('1', 'Ice Fang'), ('1', 'Mud-Slap'), ('1', 'Powder Snow'), ('1', 'Tackle'), ('15', 'Ice Shard'), ('20', 'Mist'), ('25', 'Endure'), ('30', 'Icy Wind'), ('37', 'Amnesia'), ('44', 'Take Down'), ('51', 'Earthquake'), ('58', 'Blizzard'), ('65', 'Thrash')]"
222,Corsola,"['Water', 'Rock']",Coral Pokémon,0.6 m (2′00″),5.0 kg (11.0 lbs),"['Hustle', 'Natural Cure', 'Regenerator']","
1 Defense, 1 Special Defense ","60 (7.8% with PokéBall, full HP)",70 (normal),144,Fast,"['Water 1', 'Water 3']","['25% male', '75% female']","20 (4,884–5,140 steps)
","['Ghost', 'Dark']","['Poison', 'Bug']","['Normal', 'Fighting']",171 (Gold/Silver/Crystal)180 (Ruby/Sapphire/Emerald)173 (HeartGold/SoulSilver)237 (Black 2/White 2)146 (X/Y — Coastal Kalos)189 (Omega Ruby/Alpha Sapphire)112 (Sun/Moon — Alola dex)135 (U.Sun/U.Moon — Alola dex)236 (Sword/Shield),"[('1', 'Harden'), ('1', 'Tackle'), ('5', 'Water Gun'), ('10', 'Aqua Ring'), ('15', 'Endure'), ('20', 'Ancient Power'), ('25', 'Bubble Beam'), ('30', 'Flail'), ('35', 'Life Dew'), ('40', 'Power Gem'), ('45', 'Earth Power'), ('50', 'Recover'), ('55', 'Mirror Coat')]"
223,Remoraid,['Water'],Jet Pokémon,0.6 m (2′00″),12.0 kg (26.5 lbs),"['Hustle', 'Sniper', 'Moody']","
1 Special Attack ","190 (24.8% with PokéBall, full HP)",70 (normal),60,Medium Fast,"['Water 1', 'Water 2']","['50% male', '50% female']","20 (4,884–5,140 steps)
","['Electric', 'Grass']","['Fire', 'Water', 'Ice', 'Steel']",[],"Using its dorsal fin as a suction pad, it clings to a Mantine’s underside to scavenge for leftovers.","[('1', 'Helping Hand'), ('1', 'Water Gun'), ('4', 'Water Pulse'), ('8', 'Focus Energy'), ('12', 'Psybeam'), ('16', 'Aurora Beam'), ('20', 'Bubble Beam'), ('24', 'Lock-On'), ('28', 'Bullet Seed'), ('32', 'Ice Beam'), ('36', 'Hydro Pump'), ('40', 'Soak'), ('44', 'Hyper Beam')]"
224,Octillery,['Water'],Jet Pokémon,0.9 m (2′11″),28.5 kg (62.8 lbs),"['Suction Cups', 'Sniper', 'Moody']","
1 Attack, 1 Special Attack ","75 (9.8% with PokéBall, full HP)",70 (normal),168,Medium Fast,"['Water 1', 'Water 2']","['50% male', '50% female']","20 (4,884–5,140 steps)
","['Electric', 'Grass']","['Fire', 'Water', 'Ice', 'Steel']",[],"It traps enemies with its suction-cupped tentacles, then smashes them with its rock-hard head.","[('1', 'Focus Energy'), ('1', 'Gunk Shot'), ('1', 'Helping Hand'), ('1', 'Octazooka'), ('1', 'Rock Blast'), ('1', 'Water Gun'), ('1', 'Water Pulse'), ('1', 'Wrap'), ('12', 'Psybeam'), ('16', 'Aurora Beam'), ('20', 'Bubble Beam'), ('24', 'Lock-On'), ('30', 'Bullet Seed'), ('36', 'Ice Beam'), ('42', 'Hydro Pump'), ('48', 'Soak'), ('54', 'Hyper Beam')]"
225,Delibird,"['Ice', 'Flying']",Delivery Pokémon,0.9 m (2′11″),16.0 kg (35.3 lbs),"['Vital Spirit', 'Hustle', 'Insomnia']","
1 Speed ","45 (5.9% with PokéBall, full HP)",70 (normal),116,Fast,"['Field', 'Water 1']","['50% male', '50% female']","20 (4,884–5,140 steps)
","['Fire', 'Electric', 'Rock', 'Steel']","['Grass', 'Bug']",['Ground'],"It has a generous habit of sharing its food with people and Pokémon, so it’s always scrounging around for more food.","[('1', 'Present'), ('25', 'Drill Peck')]"
226,Mantine,"['Water', 'Flying']",Kite Pokémon,2.1 m (6′11″),220.0 kg (485.0 lbs),"['Swift Swim', 'Water Absorb', 'Water Veil']","
2 Special Defense ","25 (3.3% with PokéBall, full HP)",70 (normal),170,Slow,['Water 1'],"['50% male', '50% female']","25 (6,169–6,425 steps)
","['Electric', 'Rock']","['Fire', 'Water', 'Fighting', 'Bug', 'Steel']",['Ground'],"As it majestically swims, it doesn’t care if Remoraid attach to it to scavenge for its leftovers.","[('1', 'Bullet Seed'), ('1', 'Psybeam'), ('1', 'Roost'), ('1', 'Supersonic'), ('1', 'Tackle'), ('1', 'Water Gun'), ('1', 'Wing Attack'), ('12', 'Water Pulse'), ('16', 'Wide Guard'), ('20', 'Agility'), ('24', 'Bubble Beam'), ('28', 'Headbutt'), ('32', 'Air Slash'), ('36', 'Aqua Ring'), ('40', 'Bounce'), ('44', 'Take Down'), ('48', 'Hydro Pump')]"
227,Skarmory,"['Steel', 'Flying']",Armor Bird Pokémon,1.7 m (5′07″),50.5 kg (111.3 lbs),"['Keen Eye', 'Sturdy', 'Weak Armor']","
2 Defense ","25 (3.3% with PokéBall, full HP)",70 (normal),163,Slow,['Flying'],"['50% male', '50% female']","25 (6,169–6,425 steps)
","['Fire', 'Electric']","['Normal', 'Flying', 'Psychic', 'Dragon', 'Steel', 'Fairy']","['Poison', 'Ground']","Its body is draped in steel armor. It looks heavy, but it can fly at speeds of up to 185 miles an hour!","[('1', 'Leer'), ('1', 'Peck'), ('6', 'Sand Attack'), ('9', 'Metal Claw'), ('12', 'Air Cutter'), ('17', 'Fury Attack'), ('20', 'Feint'), ('23', 'Swift'), ('28', 'Spikes'), ('31', 'Agility'), ('34', 'Steel Wing'), ('39', 'Slash'), ('42', 'Metal Sound'), ('45', 'Air Slash'), ('50', 'Autotomize'), ('53', 'Night Slash')]"
228,Houndour,"['Dark', 'Fire']",Dark Pokémon,0.6 m (2′00″),10.8 kg (23.8 lbs),"['Early Bird', 'Flash Fire', 'Unnerve']","
1 Special Attack ","120 (15.7% with PokéBall, full HP)",35 (lower than normal),66,Slow,['Field'],"['50% male', '50% female']","20 (4,884–5,140 steps)
","['Water', 'Fighting', 'Ground', 'Rock']","['Fire', 'Grass', 'Ice', 'Ghost', 'Dark', 'Steel']",['Psychic'],They make repeated eerie howls before dawn to call attention to their pack.,"[('1', 'Ember'), ('1', 'Leer'), ('4', 'Howl'), ('8', 'Smog'), ('13', 'Roar'), ('16', 'Bite'), ('20', 'Odor Sleuth'), ('25', 'Beat Up'), ('28', 'Fire Fang'), ('32', 'Feint Attack'), ('37', 'Embargo'), ('40', 'Foul Play'), ('44', 'Flamethrower'), ('49', 'Crunch'), ('52', 'Nasty Plot'), ('56', 'Inferno')]"
229,Houndoom,"['Dark', 'Fire']",Dark Pokémon,1.4 m (4′07″),35.0 kg (77.2 lbs),"['Early Bird', 'Flash Fire', 'Unnerve']","
2 Special Attack ","45 (5.9% with PokéBall, full HP)",35 (lower than normal),175,Slow,['Field'],"['50% male', '50% female']","20 (4,884–5,140 steps)
","['Water', 'Fighting', 'Ground', 'Rock']","['Fire', 'Grass', 'Ice', 'Ghost', 'Dark', 'Steel']",['Psychic'],210 (Gold/Silver/Crystal)177 (Platinum)215 (HeartGold/SoulSilver)076 (X/Y — Coastal Kalos)290 (U.Sun/U.Moon — Alola dex),"[('1', 'Ember'), ('1', 'Howl'), ('1', 'Inferno'), ('1', 'Leer'), ('1', 'Nasty Plot'), ('1', 'Smog'), ('1', 'Thunder Fang'), ('4', 'Howl'), ('8', 'Smog'), ('13', 'Roar'), ('16', 'Bite'), ('20', 'Odor Sleuth'), ('26', 'Beat Up'), ('30', 'Fire Fang'), ('35', 'Feint Attack'), ('41', 'Embargo'), ('45', 'Foul Play'), ('50', 'Flamethrower'), ('56', 'Crunch'), ('60', 'Nasty Plot'), ('65', 'Inferno')]"
230,Kingdra,"['Water', 'Dragon']",Dragon Pokémon,1.8 m (5′11″),152.0 kg (335.1 lbs),"['Swift Swim', 'Sniper', 'Damp']","
1 Attack, 1 Special Attack, 1 Special Defense ","45 (5.9% with PokéBall, full HP)",70 (normal),243,Medium Fast,"['Dragon', 'Water 1']","['50% male', '50% female']","20 (4,884–5,140 steps)
","['Dragon', 'Fairy']",['Steel'],[],"Kingdra sleeps on the seafloor where it is otherwise devoid of life. When a storm arrives, the Pokémon is said to awaken and wander about in search of prey.","[('1', 'Bubble'), ('1', 'Hydro Pump'), ('1', 'Leer'), ('1', 'Smokescreen'), ('1', 'Water Gun'), ('1', 'Yawn'), ('5', 'Smokescreen'), ('9', 'Leer'), ('13', 'Water Gun'), ('17', 'Twister'), ('21', 'Bubble Beam'), ('26', 'Focus Energy'), ('31', 'Brine'), ('38', 'Agility'), ('45', 'Dragon Pulse'), ('52', 'Dragon Dance'), ('60', 'Hydro Pump')]"
231,Phanpy,['Ground'],Long Nose Pokémon,0.5 m (1′08″),33.5 kg (73.9 lbs),"['Pickup', 'Sand Veil']","
1 HP ","120 (15.7% with PokéBall, full HP)",70 (normal),66,Medium Fast,['Field'],"['50% male', '50% female']","20 (4,884–5,140 steps)
","['Water', 'Grass', 'Ice']","['Poison', 'Rock']",['Electric'],"Phanpy uses its long nose to shower itself. When others gather around, they thoroughly douse each other with water. These Pokémon can be seen drying their soaking-wet bodies at the edge of water.","[('1', 'Defense Curl'), ('1', 'Growl'), ('1', 'Odor Sleuth'), ('1', 'Tackle'), ('6', 'Flail'), ('10', 'Rollout'), ('15', 'Natural Gift'), ('19', 'Endure'), ('24', 'Slam'), ('28', 'Take Down'), ('33', 'Charm'), ('37', 'Last Resort'), ('42', 'Double-Edge')]"
232,Donphan,['Ground'],Armor Pokémon,1.1 m (3′07″),120.0 kg (264.6 lbs),"['Sturdy', 'Sand Veil']","
1 Attack, 1 Defense ","60 (7.8% with PokéBall, full HP)",70 (normal),175,Medium Fast,['Field'],"['50% male', '50% female']","20 (4,884–5,140 steps)
","['Water', 'Grass', 'Ice']","['Poison', 'Rock']",['Electric'],"If Donphan were to tackle with its hard body, even a house could be destroyed. Using its massive strength, the Pokémon helps clear rock and mud slides that block mountain trails.","[('1', 'Bulldoze'), ('1', 'Defense Curl'), ('1', 'Fire Fang'), ('1', 'Fury Attack'), ('1', 'Growl'), ('1', 'Horn Attack'), ('1', 'Thunder Fang'), ('6', 'Rapid Spin'), ('10', 'Rollout'), ('15', 'Assurance'), ('19', 'Knock Off'), ('24', 'Slam'), ('30', 'Magnitude'), ('37', 'Scary Face'), ('43', 'Earthquake'), ('50', 'Giga Impact')]"
233,Porygon2,['Normal'],Virtual Pokémon,0.6 m (2′00″),32.5 kg (71.7 lbs),"['Trace', 'Download', 'Analytic']","
2 Special Attack ","45 (5.9% with PokéBall, full HP)",70 (normal),180,Medium Fast,['Mineral'],[],"20 (4,884–5,140 steps)
",['Fighting'],[],['Ghost'],"Even though it doesn’t die in the vacuum of space, it can’t move around very well in zero gravity.","[('1', 'Conversion'), ('1', 'Conversion 2'), ('1', 'Defense Curl'), ('1', 'Magic Coat'), ('1', 'Tackle'), ('1', 'Zap Cannon'), ('7', 'Psybeam'), ('12', 'Agility'), ('18', 'Recover'), ('23', 'Magnet Rise'), ('29', 'Signal Beam'), ('34', 'Recycle'), ('40', 'Discharge'), ('45', 'Lock-On'), ('50', 'Tri Attack'), ('56', 'Magic Coat'), ('62', 'Zap Cannon'), ('67', 'Hyper Beam')]"
